CardName,CardEffect,CardType,CardRace,Mana,Civilization,Power,Set,SetNum,ImageURL
"Fuuma Bajir, Soul Weapon","■ Multi
■ When this creature is destroyed, destroy one of your opponent's creatures that has power 3000 or less or your opponent discards a card from their hand.",Creature,Grand Devil/Xenoparts,3,Darkness/Fire,2000,DMC-48,43,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-48-43
Crimson Mega Dragoon,"■ Multi
■ When you put this creature into the battle zone, destroy all creatures that have ""blocker"".",Creature,Tyranno Drake,7,Darkness/Fire,5000,DMC-48,8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-48-8
"Bell Hell De Dios, Death Castle Beast Lord","■ Whenever this creature attacks, you may destroy one of your creatures. If you do, draw 2 cards.
■ Double Breaker",Creature,Demon Command,6,Darkness,6000,DMC-48,11,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-48-11
"Zero Phoenix, Phoenix of Darkness","■ Vortex evolution: Put on one of your darkness creatures and one of your fire creatures.
■ Double Breaker
■ Whenever this creature would break a shield, your opponent puts that shield into their graveyard instead.
■ When this creature leaves the battle zone, your opponent discards 2 cards from their hand. Then you may choose 2 cards in your opponent's mana zone and put them into their graveyard.",Evolution Creature,Phoenix,7,Darkness/Fire,11000,DMC-48,4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-48-4
"Alexander the 3rd, Emperor of the Demonic Eye","■ Double Breaker
■ Whenever you cast a light, water, or darkness spell from your hand or graveyard, if you have at least one other Knight in the battle zone you may search your deck. You may take a spell from your deck that has the same name as the spell you cast and cast it For No Cost",Creature,Dark Lord/Zombie Dragon/Knight,7,Darkness,6000,DMC-48,1,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-48-1
"Sir Leopol Deenay, the Ice Fang","■ Whenever you cast a spell, you may draw a card.",Creature,Cyber Virus/Knight,4,Water,2000,DMC-48,34,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-48-34
"Death Mendosa, Dragonic Baron of Death","■ When you put this creature into the battle zone, you may destroy one of your opponent's untapped creatures.",Creature,Dark Lord/Tyranno Drake,6,Darkness,5000,DMC-48,36,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-48-36
"Jack Valdy, the Everlasting","■ Multi
■ Evolution—Put on one of your multicolored creatures.
■ When you put this creature into the battle zone, destroy one of your opponent's non-multicolored creatures that costs 5 or less, or put one of your opponent's non-multicolored cross gear that costs 5 or less into your opponent's graveyard.
■ Double Breaker",Evolution Creature,Spirit Quartz,4,Darkness/Fire,7000,DMC-48,20,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-48-20
Terror Pit,"■ Shield Trigger
■ Destroy one of your opponent's creatures.",Spell,,6,Darkness,,DMC-57,23,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-23
Bronze-Arm Tribe,"■ When you put this creature into the battle zone, put the top card of your deck into your mana zone.",Creature,Beast Folk,3,Nature,1000,DMC-57,38,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-38
Aqua Surfer,"■ Shield Trigger
■ When you put this creature into the battle zone, you may choose a creature in the battle zone and return it to its owner's hand.",Creature,Liquid People,6,Water,2000,DMC-57,20,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-20
Faerie Life,"■ Shield Trigger
■ Put the top card of your deck into your mana zone.",Spell,,2,Nature,,DMC-57,39,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-39
"Skysword, the Savage Vizier","■ Multi
■ When you put this creature into the battle zone, put the top card of your deck into your mana zone. Then add the top card of your deck to your shields face down.",Creature,Beast Folk/Initiate,5,Light/Nature,2000,DMC-57,31,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-31
Miraculous Snare,"■ Multi
■ Choose a non-evolution creature in the battle zone and add it to its owner's shields face down.",Spell,,3,Light/Water,,DMC-57,16,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-16
"Dolgeza, Strong Striker","■ Multi
■ Sympathy
■ When you put this creature into the battle zone, you may draw a card for each of your Earth Eaters in the battle zone. Then you may draw a card for each of your Giants in the battle zone.
■ Double Breaker",Creature,Earth Eater/Giant,8,Water/Nature,9000,DMC-57,12,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-12
Shaman Totem,"■ When you put this creature into the battle zone, you may draw a card for each race you have in the battle zone other than Mystery Totem.",Creature,Mystery Totem,6,Nature,4000,DMC-57,15,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-15
"Aku, Ultimate God","■ Multi
■ Double Breaker
■ Whenever one of your Gods in the battle zone would be destroyed, you may return it to your hand instead.
■ God Link (tooltip
■ Whenever this creature attacks while linked, you may destroy one of your opponent's creatures.",Creature,God,7,Water/Darkness,9000+,DMC-57,11,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-11
"Zen, Transcendent God","■ Multi
■ Blocker
■ Double Breaker
■ God Link (tooltip
■ While this creature is linked, it has ""quattro breaker"" and untaps at the End Step",Creature,God,7,Light/Nature,8000+,DMC-57,17,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-17
Crest of Mother,"■ Choose a civilization. You may put one of your creatures that has the chosen civilization from the battle zone into your mana zone. If you do, choose a creature in your mana zone that has the same civilization as the chosen creature that costs the same as or less than than the number of cards in your mana zone and put it into the battle zone.",Spell,,3,Nature,,DMC-57,27,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-27
Earth Eternity Gate,■ Put a God that costs 7 or less from your graveyard or mana zone into the battle zone.,Spell,,6,Darkness/Nature,,DMC-57,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-7
Violence Heaven (card),"■ This spell costs up to 3 less to summon for each of your linked Gods in the battle zone. It can't cost less than 1.
■ Destroy all creatures except Gods.",Spell,,10,Darkness,,DMC-57,13,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-13
"Grave Deal, Shadow of Pure Flame","■ Shield Trigger
■ When you put this creature into the battle zone, choose one of your opponent's creatures in the battle zone. If you have a God in your mana zone, that creature gets -4000 power until the End Step",Creature,Ghost,6,Darkness,3000,DMC-57,2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-2
"Amaterasu, Founder of the Blue Wolves","■ When you put this creature into the battle zone, choose one of the following.
:► Search your deck. Choose a spell that costs 4 or less from it and shuffle your deck. Then cast that spell for no cost.
:► Search your deck. Choose a cross gear that costs 4 or less from it and shuffle your deck. Then generate that cross gear for no cost.",Creature,Knight/Samurai/Origin,6,Water,5000,DMC-57,19,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-19
"Chief De Baula, Machine King of Mystic Light","■ Blocker
■ This creature can't attack players.
■ When you put this creature into the battle zone, you may return a spell from your graveyard to your hand.",Creature,Great Mecha King/Knight,4,Light,4000,DMC-57,18,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-18
Space Crawler,"■ Blocker
■ This creature can't attack.
■ When you put this creature into the battle zone, for each civilization in your mana zone, you may look at a card from the top of your deck. Put one of them into your hand, and put the rest on the bottom of your deck in any order.",Creature,Earth Eater,4,Water,3000,DMC-57,24,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-24
Cyber Brain,"■ Shield Trigger
■ Draw up to 3 cards.",Spell,,4,Water,,DMC-57,29,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-57-29
Terror Pit,"■ Shield Trigger
■ Destroy one of your opponent's creatures.",Spell,,6,Darkness,,DMC-60,6,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-6
"Dorballom, Lord of Demons","■ Evolution—Put on one of your Demon Commands.
■ Triple Breaker
■ When you put this creature, destroy all creatures except darkness creatures. Then each player puts all non-darkness cards in their mana zone into their graveyard.",Evolution Creature,Demon Command,10,Darkness,13000,DMC-60,1,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-1
"Zamaru, Treasure of Darkness","■ While all cards in your mana zone are darkness cards, this creature gets +2000 power.
■ Whenever this creature attacks, if all cards in your mana zone are darkness cards, your opponent discards a card at random from their hand.",Creature,Pandora's Box,3,Darkness,2000+,DMC-60,10,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-10
"Giganima, the Reaper","■ When you put one of your other creatures that have ""Reaper"" in their Card Name",Creature,Chimera,5,Darkness,4000,DMC-60,5,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-5
"Bell Hell De Gaul, Footprint of the Reaper","■ Whenever one of your opponent's creatures is destroyed, shuffle your deck. Then reveal the top card of your deck. If that card is a non-evolution Demon Command, put it into the battle zone. If it's not, put it into your hand.
■ Double Breaker",Creature,Demon Command,7,Darkness,6000,DMC-60,3,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-3
"Olzekia, General of Decapitation","■ Double Breaker
■ When you put this creature into the battle zone, destroy one of your creatures. Then your opponent chooses 2 of their creatures and destroys them.",Creature,Demon Command,7,Darkness,6000,DMC-60,2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-2
"Bell Hell De Dios, Death Castle Beast Lord","■ Whenever this creature attacks, you may destroy one of your creatures. If you do, draw 2 cards.
■ Double Breaker",Creature,Demon Command,6,Darkness,6000,DMC-60,4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-4
"Death March, Reaper Puppeteer","■ Blocker
■ Graveyard evolution—Choose a darkness creature in your graveyard and put this card into the battle zone on top of that creature.
■ Whenever this creature battles, your opponent's creature gets -4000 power until the end of the battle. ''(A creature that has power 0 or less is destroyed.)''",Evolution Creature,Death Puppet,1,Darkness,1000,DMC-60,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-7
"Deathraios, Cursed Blade Reaper","■ When you put this creature into the battle zone, you may destroy one of your creatures that has ""Reaper"" in its name. If you do, your opponent chooses one of their creatures and destroys it.",Creature,Demon Command,4,Darkness,4000,DMC-60,8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-8
Grave Robber Reaper Man,"■ Whenever your other creatures that have ""Reaper"" in their name are destroyed, you may draw a card.",Creature,Hedrian,4,Darkness,3000,DMC-60,9,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-9
"Bell Hell De Bran, Battle Reaper","■ This creature can attack untapped Knights, Samurai, and Shinobi.
■ Whenever this creature can attack, you may destroy one of your other creatures. If you do, this creature can attack untapped non-evolution creatures until the End Step
■ This creature can't attack players.",Creature,Demon Command,5,Darkness,11000,DMC-60,11,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-11
Reaper Hand,"■ Destroy one of your opponent's creatures.
■ If you have a creature that has ""Reaper"" in its name in the battle zone, your opponent discards a card from their hand.",Spell,,5,Darkness,,DMC-60,14,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-14
"Deathproof, Shadow Reaper","■ Each of your other creatures in the battle zone that have ""Reaper"" in their names gets ""slayer"". ''(Whenever a creature that has ""slayer"" battles, destroy the other creature after the battle.)''",Creature,Ghost,2,Darkness,1000,DMC-60,13,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-13
"Bone Amigo, the Undead Reaper","■ Blocker
■ When this creature attacks, destroy it after the attack.",Creature,Living Dead,3,Darkness,3000,DMC-60,12,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-60-12
Terror Pit,"■ Shield Trigger
■ Destroy one of your opponent's creatures.",Spell,,6,Darkness,,DMC-63,15,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-15
Aqua Surfer,"■ Shield Trigger
■ When you put this creature into the battle zone, you may choose a creature in the battle zone and return it to its owner's hand.",Creature,Liquid People,6,Water,2000,DMC-63,13,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-13
Energy Stream,■ Draw 2 cards.,Spell,,3,Water,,DMC-63,18,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-18
Miraculous Plague,"■ Multi
■ Choose 2 of your opponent's creatures in the battle zone. Your opponent chooses one of them, puts it into his hand, and destroys the other one. Then choose 2 cards in your opponent's mana zone. Your opponent chooses one of them, puts it into his hand, and puts the other one into his graveyard.",Spell,,7,Water/Darkness,,DMC-63,10,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-10
"Adge, Emperor of the Gods","■ Double Breaker
■ God Link (tooltip
■ While this creature is linked with 3 other Gods, whenever this creature attacks or blocks, you may untap it.",Creature,God/Origin,7,Darkness,8000+,DMC-63,11,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-11
"Ana, Emperor of the Gods","■ God Link (tooltip
■ Whenever this creature links with another God, you may choose one of your opponent's creatures in the battle zone and return it to its owner's hand.",Creature,God/Origin,5,Water,5000+,DMC-63,14,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-14
"Mani, Emperor of the Gods","■ God Link (tooltip
■ Whenever this creature links with another God, you may draw a card.",Creature,God/Origin,4,Water,4000+,DMC-63,16,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-16
"Moora, Emperor of the Gods","■ God Link (tooltip
■ Whenever this creature links with another God, you may discard a card from your hand. If you do, return a God from your graveyard to your hand.",Creature,God/Origin,3,Darkness,3000+,DMC-63,19,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-19
"Vishu, Emperor of the Gods","■ God Link (tooltip
■ Whenever this creature links with another God, you may discard a card from your hand. If you do, your opponent discards a card at random from their hand.",Creature,God/Origin,4,Darkness,3000+,DMC-63,4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-4
"Suva, Emperor of the Gods","■ God Link (tooltip
■ This creature gets +2000 power for each of your Gods in your graveyard.
■ Whenever this creature attacks while linked with tooltip
■ If one of your cards that has '''Suva, Emperor of the Gods''' in its Card Name",Creature,God/Origin,5,Darkness,6000+,DMC-63,2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-2
Inferno Sign,"■ Shield Trigger
■ Put a non-evolution creature that costs 7 or less from your graveyard into the battle zone.",Spell,,5,Darkness,,DMC-63,17,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-17
"Change the World, Blue Divine Dragon","■ When you put this creature into the battle zone, discard your hand, then put all your shields into your hand. ''(You can't use the ""shield trigger"" abilities of those shields.)'' Then for each card you discarded, put the top card of your deck to your shields face down.
■ Double Breaker",Creature,Poseidia Dragon,7,Water,6000,DMC-63,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-7
Hyperspatial Emperor Hole,"■ Choose one of your opponent's creatures in the battle zone. That creature gets -2000 power until the End Step
■ Put a Darkness psychic creature that costs 9 or less from your hyperspatial zone into the battle zone. Hyperspatial Psychic",Spell,,5,Darkness,,DMC-63,4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-4
"Original Heart, the New Moon Pulses","■ Castle Fortify
■ Whenever you put a God into the battle zone, you may draw a card.
■ Whenever any of your creatures attacks, you may put a God that has ""Emperor of the Gods"" in its name from your hand into the battle zone.",Castle,,5,Water/Darkness,,DMC-63,5,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-5
"Hanzou, Menacing Phantom","■ Ninja Strike
■ When you put this creature into the battle zone, choose one of your opponent's creatures in the battle zone. That creature gets -6000 power until the End Step
■ When this creature would be destroyed and you have at least one darkness card in your mana zone, you may put one of your shields into your graveyard instead.",Creature,Demon Command/Shinobi,7,Darkness,5000,DMC-63,12,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-12
Supernova DEATH Dragerion,"■ Mana Galaxy Vortex evolution—Choose 3 darkness creatures in your mana zone and put this creature into the battle zone on top of those creatures.
■ Meteorburn—Whenever this creature attacks, you may put up to 3 cards under this creature into your graveyard. If you do, all creatures in the battle zone get -3000 power for each card put into your graveyard in this way until the End Step
■ Double Breaker",Evolution Creature,Zombie Dragon/Phoenix,8,Darkness,11000,DMC-63,9,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-9
"Baiken, Blue Dragon of the Hidden Blade","■ Double Breaker
■ When this creature would be discarded from your hand during your opponent's turn, you may put it instead. If you do, you may choose a creature and return it to its owner's hand.
■ Whenever you use a ""Ninja Strike"" ability of your Shinobi, you may draw a card.",Creature,Poseidia Dragon/Shinobi,6,Water,6000,DMC-63,8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-63-8
Terror Pit,"■ Shield Trigger
■ Destroy one of your opponent's creatures.",Spell,,6,Darkness,,DMC-65,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-7
Bolmeteus Steel Dragon,"■ Double Breaker
■ Whenever this creature would break a shield, your opponent puts that shield into his graveyard instead.",Creature,Armored Dragon,7,Fire,7000,DMC-65,6,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-6
Hell's Scrapper,"■ Shield Trigger
■ Destroy any number of your opponent's creatures that have total power 5000 or less.",Spell,,7,Fire,,DMC-65,9,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-9
"Zack Pichi, Winged Dragon Admiral","■ Double Breaker
■ When you put this creature, reveal the top 3 cards of your deck. Put all Armored Dragons and Fire Birds from among them into your hand, and put the rest on the bottom of your deck in any order. If all the revealed cards were Dragons, this creature gets ""speed attacker"" until the End Step
■ When this creature would be discarded during your opponent's turn, you may put it instead.",Creature,Armored Dragon/Fire Bird,8,Fire,6000,DMC-65,2,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-2
"Flame Shiva Double Cross, Blastdragon","■ Your psychic creatures that cost 5 or less can't be blocked.
■ Whenever this creature attacks, search your deck. You may take a spell that has Hyperspatial in its name from your deck, show that spell to your opponent, and put it into your hand. Then shuffle your deck.",Creature,Armored Dragon/Flame Command,5,Fire,5000,DMC-65,10,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-10
Dark Lupia,"■ Whenever one of your Dragons are destroyed, you may destroy one of your opponent's creatures.",Creature,Fire Bird,3,Darkness,1000,DMC-65,11,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-11
"Poppo ""Yatarou"" Pappi","■ Saver: Dragon or Samurai creatures ''(When one of your Dragons or Samurai creatures would be destroyed, you may destroy this creature instead.)''",Creature,Fire Bird/Samurai,2,Fire,2000,DMC-65,15,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-15
"Boleas, Bird of Fire","■ Evolution—Put on one of your Fire Birds.
■ When you put this creature into the battle zone, destroy one of your opponent's creatures that has ""blocker"".",Evolution Creature,Fire Bird,3,Fire,5000,DMC-65,8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-8
Piara Heart,"■ Shield Trigger
■ When you put this creature into the battle zone, destroy one of your opponent's creatures that has power 1000 or less.",Creature,Fire Bird,3,Fire,1000,DMC-65,13,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-13
Lyla Latta,"■ Whenever this creature is attacked, return a shield to your hand. You can't use the ""shield trigger"" ability of that shield.",Creature,Fire Bird,2,Fire,3000,DMC-65,14,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-14
Shobu Aini,■ Tap Ability,Creature,Fire Bird,4,Fire,1000,DMC-65,3,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-3
Reppi Aini,"■ When you put this creature into the battle zone, you may reveal the top 2 cards of your deck. You may take a spell that has Hyperspatial in its name from among them into your hand, then put the rest into your graveyard.",Creature,Fire Bird,3,Fire,1000,DMC-65,4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-4
"Guldan, Bird of Fire","■ Evolution—Put on one of your Fire Birds.
■ Power attacker +4000
■ Double Breaker",Evolution Creature,Fire Bird,4,Fire,4000+,DMC-65,12,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMC-65-12
Terror Pit,"■ Shield Trigger
■ Destroy one of your opponent's creatures.",Spell,,6,Darkness,,DMD-04,9,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-9
Ten-Ton Crunch,"■ Shield Trigger
■ Destroy one of your opponent's creatures that has power 3000 or less.",Spell,,4,Fire,,DMD-04,15,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-15
Hell's Scrapper,"■ Shield Trigger
■ Destroy any number of your opponent's creatures that have total power 5000 or less.",Spell,,7,Fire,,DMD-04,11,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-11
Hyperspatial Revive Hole,"■ Return a creature from your graveyard to your hand.
■ Choose one of the following.
:► Put any number of psychic creatures that have total cost 5 or less from your hyperspatial zone into the battle zone.
:► Put a darkness psychic creature that costs 7 or less from your hyperspatial zone into the battle zone.
■ Hyperspatial Psychic",Spell,,5,Darkness,,DMD-04,14,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-14
Hyperspatial Emperor Hole,"■ Choose one of your opponent's creatures in the battle zone. That creature gets -2000 power until the End Step
■ Put a Darkness psychic creature that costs 9 or less from your hyperspatial zone into the battle zone. Hyperspatial Psychic",Spell,,5,Darkness,,DMD-04,13,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-13
"Mars Gil Hydra, the Explosive","■ Space Charge
■ Double Breaker",Creature,Flame Command/Alien,6,Fire,6000,DMD-04,10,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-10
"Zabi Demona, Dead Sea Treasure","■ Shield Trigger
■ When you put this creature into the battle zone, you may destroy one of your Darkness or Fire creatures. If you do, put a Darkness or Fire psychic creature that costs 4 or less from your hyperspatial zone into the battle zone.
■ Hyperspatial Psychic",Creature,Pandora's Box/Alien,4,Darkness,2000,DMD-04,8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-8
"Zabi Trash Train, Fuuma Devil","■ Whenever your other Aliens are destroyed, you may draw a card.",Creature,Hedrian/Grand Devil/Alien,4,Darkness,3000,DMD-04,12,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-12
Big Promo! Zabi Flower,"■ Whenever this creature attacks, you may return an Alien from your graveyard to your hand.
■ Double Breaker",Psychic Creature,Living Dead/Alien,7,Darkness,6000,DMD-04,2a,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-2a
Big Promo! Zabi Flower,"■ Whenever this creature attacks, you may return an Alien from your graveyard to your hand.
■ Double Breaker",Psychic Creature,Living Dead/Alien,7,Darkness,6000,DMD-04," 2b",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04- 2b
"Deis Rigel, Persistent Flame","■ Psychic Link—At the Step#Step 2 (Draw)
■ This creature gets ""Power attacker +1000"" for each Alien in your graveyard.",Psychic Creature,Living Dead/Alien,4,Darkness/Fire,3000+,DMD-04,1a,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-1a
"Deis Rigel, Persistent Flame","■ Psychic Link—At the Step#Step 2 (Draw)
■ This creature gets ""Power attacker +1000"" for each Alien in your graveyard.",Psychic Creature,Living Dead/Alien,4,Darkness/Fire,3000+,DMD-04," 1b",https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04- 1b
Self-Destructing Gil Poser,"■ When you put this creature into the battle zone, you may destroy this creature. If you do, destroy one of your opponent's creatures that has power 2000 or less.",Creature,Machine Eater/Alien,2,Fire,2000,DMD-04,6,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-6
Marauder Deis Drive,"■ Multi
■ Speed Attacker
■ Slayer",Creature,Living Dead/Dragonoid/Alien,3,Darkness/Fire,1000,DMD-04,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-7
"Zabi Barrel, Western Doll","■ Blocker
■ This creature can't attack.
■ When you put this creature into the battle zone, your opponent discards a card from their hand.",Creature,Death Puppet/Alien,3,Darkness,2000,DMD-04,3,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-3
Bone Dance Charger,"■ Put the top 2 cards of your deck into your graveyard.
■ Charger",Spell,,3,Darkness,,DMD-04,5,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-04-5
Terror Pit,"■ Shield Trigger
■ Destroy one of your opponent's creatures.",Spell,,6,Darkness,,DMD-05,11,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-11
"Super Trash Train, Fuuma Devil","■ Whenever another creature is destroyed, you may draw a card.",Creature,Hedrian/Grand Devil,5,Darkness,5000,DMD-05,8,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-8
Deadly Love,"■ Shield Trigger
■ You may destroy one of your creatures. If you do, destroy one of your opponent's creatures.",Spell,,2,Darkness,,DMD-05,12,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-12
"Heehaw, Caterpillar Rider","■ Slayer
■ When this creature is destroyed, you may return another Hunter creature from your graveyard to your hand.",Creature,Death Puppet/Parasite Worm/Hunter,3,Darkness,1000,DMD-05,9,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-9
"Mach 5 Swan, the Tempestous","■ If your opponent has a creature that has ""blocker"" in the battle zone, this creature costs 3 less to summon. It can't cost less than 1. 
■ Speed Attacker",Creature,Feathernoid/Hunter,4,Fire,3000,DMD-05,15,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-15
Super Go On Pippi,"■ Each of your creatures in the battle zone that have both the Dragon and Hunter races gets ""speed attacker"". ''(A creature that has ""speed attacker"" doesn't get summoning sickness.)''",Creature,Fire Bird/Hunter,3,Fire,3000,DMD-05,4,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-4
"Death Gate, Gate of Hell","■ Shield Trigger
■ Destroy one of your opponent's untapped creatures. You may put a non-evolution creature that costs less than the destroyed creature from your graveyard into the battle zone.",Spell,,6,Darkness,,DMD-05,10,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-10
GENJI Boy,"■ Speed Attacker
■ This creature attacks each turn if able.
■ Whenever your Hunters attack, destroy one of your opponent's creatures that has ""blocker"".",Creature,Human/Hunter,5,Fire,1000,DMD-05,13,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-13
Wrath of God! Valborg Now,"■ Evolution—Put on one of your Hunters.
■ Double Breaker",Evolution Creature,Human/Hunter,3,Fire,6000,DMD-05,14,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-14
"Vorg, Ogre Puppet",■ Slayer,Creature,Death Puppet/Hunter/Alien,2,Darkness,1000,DMD-05,3,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-3
Super Infernal Gate Smash,"■ Multi
■ Destroy one of your opponent's creatures.",Spell,,4,Darkness/Fire,,DMD-05,7,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-05-7
Terror Pit,"■ Shield Trigger
■ Destroy one of your opponent's creatures.",Spell,,6,Darkness,,DMD-08,24,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-08-24
Aqua Surfer,"■ Shield Trigger
■ When you put this creature into the battle zone, you may choose a creature in the battle zone and return it to its owner's hand.",Creature,Liquid People,6,Water,2000,DMD-08,12,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-08-12
Emergency Typhoon,"■ Shield Trigger
■ Draw up to 2 cards. Then discard a card from your hand.",Spell,,2,Water,,DMD-08,15,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-08-15
"Auzesu, Demonic Elemental","■ Multi
■ Sympathy
■ Whenever one of your Angel Commands or Demon Commands attacks, destroy one of your opponent's tapped creatures.
■ Double Breaker",Creature,Angel Command/Demon Command,6,Light/Darkness,6500,DMD-08,9,https://dm.takaratomy.co.jp/wp-content/card/cardimage//DMD-08-9
